date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:55:18	13938/13938	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2016%20Apr%202026%2011:53:53%20GMT	https://takeoffmilan.com/cdn/shopifycloud/storefront/assets/storefront/load_feature-1bd60354.js	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/shopifycloud/storefront/assets/storefront/load_feature-1bd60354.js	(from https://takeoffmilan.com/)
11:55:18	386914/386914	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2026%20Apr%202026%2009:53:04%20GMT	https://takeoffmilan.com/cdn/shopifycloud/portable-wallets/latest/portable-wallets.it.js	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/shopifycloud/portable-wallets/latest/portable-wallets.it.js	(from https://takeoffmilan.com/)
11:55:18	90626/90626	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2026%20Apr%202026%2008:50:20%20GMT	https://takeoffmilan.com/cdn/shopifycloud/privacy-banner/storefront-banner.js	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/shopifycloud/privacy-banner/storefront-banner.js	(from https://takeoffmilan.com/)
11:55:20	13937/13937	---MCZ	200	added ('OK')	text/css	date:Sun,%2026%20Apr%202026%2009:47:25%20GMT	https://takeoffmilan.com/cdn/shopifycloud/portable-wallets/latest/accelerated-checkout-backwards-compat.css	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/shopifycloud/portable-wallets/latest/accelerated-checkout-backwards-compat.css	(from https://takeoffmilan.com/)
11:55:20	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202026%2009:55:19%20GMT	http://takeoffmilan.com/cdn/fonts/figtree/figtree_n4.3c0838aba1701047e60be6a99a1b0a40ce9b8419.woff2	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/fonts/figtree/figtree_n4.3c0838aba1701047e60be6a99a1b0a40ce9b8419.woff2	(from https://takeoffmilan.com/)
11:55:20	12020/12020	---M--	200	added ('OK')	font/woff2	date:Tue,%2014%20Apr%202026%2014:00:54%20GMT	https://takeoffmilan.com/cdn/fonts/figtree/figtree_n4.3c0838aba1701047e60be6a99a1b0a40ce9b8419.woff2	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/fonts/figtree/figtree_n4.3c0838aba1701047e60be6a99a1b0a40ce9b8419.woff2	(from https://takeoffmilan.com/)
11:55:21	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202026%2009:55:21%20GMT	http://takeoffmilan.com/cdn/fonts/figtree/figtree_n4.c0575d1db21fc3821f17fd6617d3dee552312137.woff	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/fonts/figtree/figtree_n4.c0575d1db21fc3821f17fd6617d3dee552312137.woff	(from https://takeoffmilan.com/)
11:55:21	11980/11980	---M--	200	added ('OK')	font/woff2	date:Thu,%2019%20Mar%202026%2007:09:14%20GMT	https://takeoffmilan.com/cdn/fonts/figtree/figtree_n4.c0575d1db21fc3821f17fd6617d3dee552312137.woff	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/fonts/figtree/figtree_n4.c0575d1db21fc3821f17fd6617d3dee552312137.woff	(from https://takeoffmilan.com/)
11:55:21	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202026%2009:55:21%20GMT	http://takeoffmilan.com/cdn/fonts/figtree/figtree_n7.2fd9bfe01586148e644724096c9d75e8c7a90e55.woff2	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/fonts/figtree/figtree_n7.2fd9bfe01586148e644724096c9d75e8c7a90e55.woff2	(from https://takeoffmilan.com/)
11:55:21	12180/12180	---M--	200	added ('OK')	font/woff2	date:Wed,%2018%20Mar%202026%2009:37:20%20GMT	https://takeoffmilan.com/cdn/fonts/figtree/figtree_n7.2fd9bfe01586148e644724096c9d75e8c7a90e55.woff2	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/fonts/figtree/figtree_n7.2fd9bfe01586148e644724096c9d75e8c7a90e55.woff2	(from https://takeoffmilan.com/)
11:55:22	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202026%2009:55:22%20GMT	http://takeoffmilan.com/cdn/fonts/figtree/figtree_n7.ea05de92d862f9594794ab281c4c3a67501ef5fc.woff	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/fonts/figtree/figtree_n7.ea05de92d862f9594794ab281c4c3a67501ef5fc.woff	(from https://takeoffmilan.com/)
11:55:22	12108/12108	---M--	200	added ('OK')	font/woff2	date:Wed,%2025%20Mar%202026%2008:57:55%20GMT	https://takeoffmilan.com/cdn/fonts/figtree/figtree_n7.ea05de92d862f9594794ab281c4c3a67501ef5fc.woff	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/fonts/figtree/figtree_n7.ea05de92d862f9594794ab281c4c3a67501ef5fc.woff	(from https://takeoffmilan.com/)
11:55:22	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202026%2009:55:22%20GMT	http://takeoffmilan.com/cdn/fonts/figtree/figtree_i4.89f7a4275c064845c304a4cf8a4a586060656db2.woff2	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/fonts/figtree/figtree_i4.89f7a4275c064845c304a4cf8a4a586060656db2.woff2	(from https://takeoffmilan.com/)
11:55:22	12588/12588	---M--	200	added ('OK')	font/woff2	date:Sun,%2019%20Apr%202026%2010:34:07%20GMT	https://takeoffmilan.com/cdn/fonts/figtree/figtree_i4.89f7a4275c064845c304a4cf8a4a586060656db2.woff2	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/fonts/figtree/figtree_i4.89f7a4275c064845c304a4cf8a4a586060656db2.woff2	(from https://takeoffmilan.com/)
11:55:23	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202026%2009:55:23%20GMT	http://takeoffmilan.com/cdn/fonts/figtree/figtree_i4.6f955aaaafc55a22ffc1f32ecf3756859a5ad3e2.woff	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/fonts/figtree/figtree_i4.6f955aaaafc55a22ffc1f32ecf3756859a5ad3e2.woff	(from https://takeoffmilan.com/)
11:55:23	12552/12552	---M--	200	added ('OK')	font/woff2	date:Wed,%2025%20Mar%202026%2011:54:01%20GMT	https://takeoffmilan.com/cdn/fonts/figtree/figtree_i4.6f955aaaafc55a22ffc1f32ecf3756859a5ad3e2.woff	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/fonts/figtree/figtree_i4.6f955aaaafc55a22ffc1f32ecf3756859a5ad3e2.woff	(from https://takeoffmilan.com/)
11:55:23	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202026%2009:55:24%20GMT	http://takeoffmilan.com/cdn/fonts/figtree/figtree_i7.06add7096a6f2ab742e09ec7e498115904eda1fe.woff2	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/fonts/figtree/figtree_i7.06add7096a6f2ab742e09ec7e498115904eda1fe.woff2	(from https://takeoffmilan.com/)
11:55:24	12704/12704	---M--	200	added ('OK')	font/woff2	date:Thu,%2029%20Jan%202026%2006:58:49%20GMT	https://takeoffmilan.com/cdn/fonts/figtree/figtree_i7.06add7096a6f2ab742e09ec7e498115904eda1fe.woff2	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/fonts/figtree/figtree_i7.06add7096a6f2ab742e09ec7e498115904eda1fe.woff2	(from https://takeoffmilan.com/)
11:55:24	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202026%2009:55:24%20GMT	http://takeoffmilan.com/cdn/fonts/figtree/figtree_i7.ee584b5fcaccdbb5518c0228158941f8df81b101.woff	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/fonts/figtree/figtree_i7.ee584b5fcaccdbb5518c0228158941f8df81b101.woff	(from https://takeoffmilan.com/)
11:55:24	12640/12640	---M--	200	added ('OK')	font/woff2	date:Sat,%2008%20Nov%202025%2020:31:48%20GMT	https://takeoffmilan.com/cdn/fonts/figtree/figtree_i7.ee584b5fcaccdbb5518c0228158941f8df81b101.woff	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/fonts/figtree/figtree_i7.ee584b5fcaccdbb5518c0228158941f8df81b101.woff	(from https://takeoffmilan.com/)
11:55:25	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202026%2009:55:25%20GMT	http://takeoffmilan.com/cdn/shop/t/2/assets/base.css?v=162148176939181344351771445108	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/shop/t/2/assets/base8ba3.css	(from https://takeoffmilan.com/)
11:55:25	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202026%2009:55:25%20GMT	http://takeoffmilan.com/cdn/shop/t/2/assets/component-localization-form.css?v=143319823105703127341770806540	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/shop/t/2/assets/component-localization-formfc50.css	(from https://takeoffmilan.com/)
11:55:25	83476/83476	---MCZ	200	added ('OK')	text/css	date:Thu,%2023%20Apr%202026%2007:41:17%20GMT	https://takeoffmilan.com/cdn/shop/t/2/assets/base.css?v=162148176939181344351771445108	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/shop/t/2/assets/base8ba3.css	(from https://takeoffmilan.com/)
11:55:25	5827/5827	---MCZ	200	added ('OK')	text/css	date:Thu,%2023%20Apr%202026%2007:41:17%20GMT	https://takeoffmilan.com/cdn/shop/t/2/assets/component-localization-form.css?v=143319823105703127341770806540	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/shop/t/2/assets/component-localization-formfc50.css	(from https://takeoffmilan.com/)
11:55:26	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202026%2009:55:26%20GMT	http://takeoffmilan.com/cdn/shop/t/2/assets/localization-form.js?v=161644695336821385561770806540	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/shop/t/2/assets/localization-formcb6e.js	(from https://takeoffmilan.com/)
11:55:26	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202026%2009:55:26%20GMT	http://takeoffmilan.com/cdn/shop/t/2/assets/component-predictive-search.css?v=118923337488134913561770806540	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/shop/t/2/assets/component-predictive-search8dd9.css	(from https://takeoffmilan.com/)
11:55:26	1618/1618	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2023%20Apr%202026%2007:41:19%20GMT	https://takeoffmilan.com/cdn/shop/t/2/assets/localization-form.js?v=161644695336821385561770806540	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/shop/t/2/assets/localization-formcb6e.js	(from https://takeoffmilan.com/)
11:55:26	4975/4975	---MCZ	200	added ('OK')	text/css	date:Thu,%2023%20Apr%202026%2007:41:19%20GMT	https://takeoffmilan.com/cdn/shop/t/2/assets/component-predictive-search.css?v=118923337488134913561770806540	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/shop/t/2/assets/component-predictive-search8dd9.css	(from https://takeoffmilan.com/)
11:55:26	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202026%2009:55:27%20GMT	http://takeoffmilan.com/cdn/shop/t/2/assets/wishlist.js?v=103710449798224881581770806540	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/shop/t/2/assets/wishlistdc63.js	(from https://takeoffmilan.com/)
11:55:27	91272/91272	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2023%20Apr%202026%2007:41:20%20GMT	https://takeoffmilan.com/cdn/shop/t/2/assets/wishlist.js?v=103710449798224881581770806540	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/shop/t/2/assets/wishlistdc63.js	(from https://takeoffmilan.com/)
11:55:27	83041/83041	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2026%20Apr%202026%2009:55:28%20GMT	https://takeoffmilan.com/POST	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/POST	(from https://takeoffmilan.com/)
11:55:28	18585/18585	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Sun,%2026%20Apr%202026%2009:55:28%20GMT	https://takeoffmilan.com/cdn	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn	(from https://takeoffmilan.com/)
11:55:29	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202026%2009:55:28%20GMT	http://takeoffmilan.com/cdn/s/trekkie.storefront.40cf76d5f324d17d3a4347e25c36a3e219ef9f79.min.js	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/s/trekkie.storefront.40cf76d5f324d17d3a4347e25c36a3e219ef9f79.min.js	(from https://takeoffmilan.com/)
11:55:29	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202026%2009:55:30%20GMT	http://takeoffmilan.com/cdn/shopifycloud/storefront/assets/shop_events_listener-3da45d37.js	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/shopifycloud/storefront/assets/shop_events_listener-3da45d37.js	(from https://takeoffmilan.com/)
11:55:29	116212/116212	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2023%20Apr%202026%2022:50:32%20GMT	https://takeoffmilan.com/cdn/s/trekkie.storefront.40cf76d5f324d17d3a4347e25c36a3e219ef9f79.min.js	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/s/trekkie.storefront.40cf76d5f324d17d3a4347e25c36a3e219ef9f79.min.js	(from https://takeoffmilan.com/)
11:55:29	13852/13852	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2014%20Apr%202026%2023:33:03%20GMT	https://takeoffmilan.com/cdn/shopifycloud/storefront/assets/shop_events_listener-3da45d37.js	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/shopifycloud/storefront/assets/shop_events_listener-3da45d37.js	(from https://takeoffmilan.com/)
11:55:31	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202026%2009:55:30%20GMT	http://takeoffmilan.com/cdn/shop/files/logo.png?v=1770934873&width=600	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/shop/files/logoe042.png	(from https://takeoffmilan.com/)
11:55:31	64906/64906	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2012%20Apr%202026%2006:31:51%20GMT	https://takeoffmilan.com/cdn/shopifycloud/perf-kit/shopify-perf-kit-3.3.1.min.js	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/shopifycloud/perf-kit/shopify-perf-kit-3.3.1.min.js	(from https://takeoffmilan.com/)
11:55:31	16832/16832	---M--	200	added ('OK')	image/png	date:Sun,%2026%20Apr%202026%2009:55:32%20GMT	https://takeoffmilan.com/cdn/shop/files/logo.png?v=1770934873&width=600	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/shop/files/logoe042.png	(from https://takeoffmilan.com/)
11:55:32	99574/99574	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202026%2009:55:32%20GMT	https://takeoffmilan.com/pages/contact	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/pages/contact.html	(from https://takeoffmilan.com/)
11:55:33	109548/109548	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202026%2009:55:33%20GMT	https://takeoffmilan.com/pages/portfolio	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/pages/portfolio.html	(from https://takeoffmilan.com/)
